idx,name,type,weight_shape,has_bias
0,conv_in,Conv2d,320x4x3x3,True
1,time_embedding.linear_1,Linear,1280x320,True
2,time_embedding.linear_2,Linear,1280x1280,True
3,down_blocks.0.attentions.0.proj_in,Conv2d,320x320x1x1,True
4,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,320x320,False
5,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,320x320,False
6,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,320x320,False
7,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,320x320,True
8,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,320x320,False
9,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,320x768,False
10,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,320x768,False
11,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,320x320,True
12,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,2560x320,True
13,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,320x1280,True
14,down_blocks.0.attentions.0.proj_out,Conv2d,320x320x1x1,True
15,down_blocks.0.attentions.1.proj_in,Conv2d,320x320x1x1,True
16,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,320x320,False
17,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,320x320,False
18,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,320x320,False
19,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,320x320,True
20,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,320x320,False
21,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,320x768,False
22,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,320x768,False
23,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,320x320,True
24,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,2560x320,True
25,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,320x1280,True
26,down_blocks.0.attentions.1.proj_out,Conv2d,320x320x1x1,True
27,down_blocks.0.resnets.0.conv1,Conv2d,320x320x3x3,True
28,down_blocks.0.resnets.0.time_emb_proj,Linear,320x1280,True
29,down_blocks.0.resnets.0.conv2,Conv2d,320x320x3x3,True
30,down_blocks.0.resnets.1.conv1,Conv2d,320x320x3x3,True
31,down_blocks.0.resnets.1.time_emb_proj,Linear,320x1280,True
32,down_blocks.0.resnets.1.conv2,Conv2d,320x320x3x3,True
33,down_blocks.0.downsamplers.0.conv,Conv2d,320x320x3x3,True
34,down_blocks.1.attentions.0.proj_in,Conv2d,640x640x1x1,True
35,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,640x640,False
36,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,640x640,False
37,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,640x640,False
38,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,640x640,True
39,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,640x640,False
40,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,640x768,False
41,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,Linear,640x768,False
42,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,640x640,True
43,down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,5120x640,True
44,down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,Linear,640x2560,True
45,down_blocks.1.attentions.0.proj_out,Conv2d,640x640x1x1,True
46,down_blocks.1.attentions.1.proj_in,Conv2d,640x640x1x1,True
47,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,640x640,False
48,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,640x640,False
49,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,640x640,False
50,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,640x640,True
51,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,640x640,False
52,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,640x768,False
53,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,640x768,False
54,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,640x640,True
55,down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,5120x640,True
56,down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,640x2560,True
57,down_blocks.1.attentions.1.proj_out,Conv2d,640x640x1x1,True
58,down_blocks.1.resnets.0.conv1,Conv2d,640x320x3x3,True
59,down_blocks.1.resnets.0.time_emb_proj,Linear,640x1280,True
60,down_blocks.1.resnets.0.conv2,Conv2d,640x640x3x3,True
61,down_blocks.1.resnets.0.conv_shortcut,Conv2d,640x320x1x1,True
62,down_blocks.1.resnets.1.conv1,Conv2d,640x640x3x3,True
63,down_blocks.1.resnets.1.time_emb_proj,Linear,640x1280,True
64,down_blocks.1.resnets.1.conv2,Conv2d,640x640x3x3,True
65,down_blocks.1.downsamplers.0.conv,Conv2d,640x640x3x3,True
66,down_blocks.2.attentions.0.proj_in,Conv2d,1280x1280x1x1,True
67,down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,1280x1280,False
68,down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,1280x1280,False
69,down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,Linear,1280x1280,False
70,down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,1280x1280,True
71,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,Linear,1280x1280,False
72,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,Linear,1280x768,False
73,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,Linear,1280x768,False
74,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,1280x1280,True
75,down_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,10240x1280,True
76,down_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,Linear,1280x5120,True
77,down_blocks.2.attentions.0.proj_out,Conv2d,1280x1280x1x1,True
78,down_blocks.2.attentions.1.proj_in,Conv2d,1280x1280x1x1,True
79,down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,Linear,1280x1280,False
80,down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,Linear,1280x1280,False
81,down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,Linear,1280x1280,False
82,down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,1280x1280,True
83,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,Linear,1280x1280,False
84,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,Linear,1280x768,False
85,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,Linear,1280x768,False
86,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,1280x1280,True
87,down_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,10240x1280,True
88,down_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,Linear,1280x5120,True
89,down_blocks.2.attentions.1.proj_out,Conv2d,1280x1280x1x1,True
90,down_blocks.2.resnets.0.conv1,Conv2d,1280x640x3x3,True
91,down_blocks.2.resnets.0.time_emb_proj,Linear,1280x1280,True
92,down_blocks.2.resnets.0.conv2,Conv2d,1280x1280x3x3,True
93,down_blocks.2.resnets.0.conv_shortcut,Conv2d,1280x640x1x1,True
94,down_blocks.2.resnets.1.conv1,Conv2d,1280x1280x3x3,True
95,down_blocks.2.resnets.1.time_emb_proj,Linear,1280x1280,True
96,down_blocks.2.resnets.1.conv2,Conv2d,1280x1280x3x3,True
97,down_blocks.2.downsamplers.0.conv,Conv2d,1280x1280x3x3,True
98,down_blocks.3.resnets.0.conv1,Conv2d,1280x1280x3x3,True
99,down_blocks.3.resnets.0.time_emb_proj,Linear,1280x1280,True
100,down_blocks.3.resnets.0.conv2,Conv2d,1280x1280x3x3,True
101,down_blocks.3.resnets.1.conv1,Conv2d,1280x1280x3x3,True
102,down_blocks.3.resnets.1.time_emb_proj,Linear,1280x1280,True
103,down_blocks.3.resnets.1.conv2,Conv2d,1280x1280x3x3,True
104,up_blocks.0.resnets.0.conv1,Conv2d,1280x2560x3x3,True
105,up_blocks.0.resnets.0.time_emb_proj,Linear,1280x1280,True
106,up_blocks.0.resnets.0.conv2,Conv2d,1280x1280x3x3,True
107,up_blocks.0.resnets.0.conv_shortcut,Conv2d,1280x2560x1x1,True
108,up_blocks.0.resnets.1.conv1,Conv2d,1280x2560x3x3,True
109,up_blocks.0.resnets.1.time_emb_proj,Linear,1280x1280,True
110,up_blocks.0.resnets.1.conv2,Conv2d,1280x1280x3x3,True
111,up_blocks.0.resnets.1.conv_shortcut,Conv2d,1280x2560x1x1,True
112,up_blocks.0.resnets.2.conv1,Conv2d,1280x2560x3x3,True
113,up_blocks.0.resnets.2.time_emb_proj,Linear,1280x1280,True
114,up_blocks.0.resnets.2.conv2,Conv2d,1280x1280x3x3,True
115,up_blocks.0.resnets.2.conv_shortcut,Conv2d,1280x2560x1x1,True
116,up_blocks.0.upsamplers.0.conv,Conv2d,1280x1280x3x3,True
117,up_blocks.1.attentions.0.proj_in,Conv2d,1280x1280x1x1,True
118,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,1280x1280,False
119,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,1280x1280,False
120,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,1280x1280,False
121,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,1280x1280,True
122,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,1280x1280,False
123,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,1280x768,False
124,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,Linear,1280x768,False
125,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,1280x1280,True
126,up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,10240x1280,True
127,up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,Linear,1280x5120,True
128,up_blocks.1.attentions.0.proj_out,Conv2d,1280x1280x1x1,True
129,up_blocks.1.attentions.1.proj_in,Conv2d,1280x1280x1x1,True
130,up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,1280x1280,False
131,up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,1280x1280,False
132,up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,1280x1280,False
133,up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,1280x1280,True
134,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,1280x1280,False
135,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,1280x768,False
136,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,1280x768,False
137,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,1280x1280,True
138,up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,10240x1280,True
139,up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,1280x5120,True
140,up_blocks.1.attentions.1.proj_out,Conv2d,1280x1280x1x1,True
141,up_blocks.1.attentions.2.proj_in,Conv2d,1280x1280x1x1,True
142,up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q,Linear,1280x1280,False
143,up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k,Linear,1280x1280,False
144,up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v,Linear,1280x1280,False
145,up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,Linear,1280x1280,True
146,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q,Linear,1280x1280,False
147,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k,Linear,1280x768,False
148,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,Linear,1280x768,False
149,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_out.0,Linear,1280x1280,True
150,up_blocks.1.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,10240x1280,True
151,up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,Linear,1280x5120,True
152,up_blocks.1.attentions.2.proj_out,Conv2d,1280x1280x1x1,True
153,up_blocks.1.resnets.0.conv1,Conv2d,1280x2560x3x3,True
154,up_blocks.1.resnets.0.time_emb_proj,Linear,1280x1280,True
155,up_blocks.1.resnets.0.conv2,Conv2d,1280x1280x3x3,True
156,up_blocks.1.resnets.0.conv_shortcut,Conv2d,1280x2560x1x1,True
157,up_blocks.1.resnets.1.conv1,Conv2d,1280x2560x3x3,True
158,up_blocks.1.resnets.1.time_emb_proj,Linear,1280x1280,True
159,up_blocks.1.resnets.1.conv2,Conv2d,1280x1280x3x3,True
160,up_blocks.1.resnets.1.conv_shortcut,Conv2d,1280x2560x1x1,True
161,up_blocks.1.resnets.2.conv1,Conv2d,1280x1920x3x3,True
162,up_blocks.1.resnets.2.time_emb_proj,Linear,1280x1280,True
163,up_blocks.1.resnets.2.conv2,Conv2d,1280x1280x3x3,True
164,up_blocks.1.resnets.2.conv_shortcut,Conv2d,1280x1920x1x1,True
165,up_blocks.1.upsamplers.0.conv,Conv2d,1280x1280x3x3,True
166,up_blocks.2.attentions.0.proj_in,Conv2d,640x640x1x1,True
167,up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,640x640,False
168,up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,640x640,False
169,up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,Linear,640x640,False
170,up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,640x640,True
171,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,Linear,640x640,False
172,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,Linear,640x768,False
173,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,Linear,640x768,False
174,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,640x640,True
175,up_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,5120x640,True
176,up_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,Linear,640x2560,True
177,up_blocks.2.attentions.0.proj_out,Conv2d,640x640x1x1,True
178,up_blocks.2.attentions.1.proj_in,Conv2d,640x640x1x1,True
179,up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,Linear,640x640,False
180,up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,Linear,640x640,False
181,up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,Linear,640x640,False
182,up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,640x640,True
183,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,Linear,640x640,False
184,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,Linear,640x768,False
185,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,Linear,640x768,False
186,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,640x640,True
187,up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,5120x640,True
188,up_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,Linear,640x2560,True
189,up_blocks.2.attentions.1.proj_out,Conv2d,640x640x1x1,True
190,up_blocks.2.attentions.2.proj_in,Conv2d,640x640x1x1,True
191,up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_q,Linear,640x640,False
192,up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_k,Linear,640x640,False
193,up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_v,Linear,640x640,False
194,up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_out.0,Linear,640x640,True
195,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_q,Linear,640x640,False
196,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,Linear,640x768,False
197,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,Linear,640x768,False
198,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_out.0,Linear,640x640,True
199,up_blocks.2.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,5120x640,True
200,up_blocks.2.attentions.2.transformer_blocks.0.ff.net.2,Linear,640x2560,True
201,up_blocks.2.attentions.2.proj_out,Conv2d,640x640x1x1,True
202,up_blocks.2.resnets.0.conv1,Conv2d,640x1920x3x3,True
203,up_blocks.2.resnets.0.time_emb_proj,Linear,640x1280,True
204,up_blocks.2.resnets.0.conv2,Conv2d,640x640x3x3,True
205,up_blocks.2.resnets.0.conv_shortcut,Conv2d,640x1920x1x1,True
206,up_blocks.2.resnets.1.conv1,Conv2d,640x1280x3x3,True
207,up_blocks.2.resnets.1.time_emb_proj,Linear,640x1280,True
208,up_blocks.2.resnets.1.conv2,Conv2d,640x640x3x3,True
209,up_blocks.2.resnets.1.conv_shortcut,Conv2d,640x1280x1x1,True
210,up_blocks.2.resnets.2.conv1,Conv2d,640x960x3x3,True
211,up_blocks.2.resnets.2.time_emb_proj,Linear,640x1280,True
212,up_blocks.2.resnets.2.conv2,Conv2d,640x640x3x3,True
213,up_blocks.2.resnets.2.conv_shortcut,Conv2d,640x960x1x1,True
214,up_blocks.2.upsamplers.0.conv,Conv2d,640x640x3x3,True
215,up_blocks.3.attentions.0.proj_in,Conv2d,320x320x1x1,True
216,up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,Linear,320x320,False
217,up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_k,Linear,320x320,False
218,up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_v,Linear,320x320,False
219,up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,320x320,True
220,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_q,Linear,320x320,False
221,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k,Linear,320x768,False
222,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,Linear,320x768,False
223,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,320x320,True
224,up_blocks.3.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,2560x320,True
225,up_blocks.3.attentions.0.transformer_blocks.0.ff.net.2,Linear,320x1280,True
226,up_blocks.3.attentions.0.proj_out,Conv2d,320x320x1x1,True
227,up_blocks.3.attentions.1.proj_in,Conv2d,320x320x1x1,True
228,up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_q,Linear,320x320,False
229,up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_k,Linear,320x320,False
230,up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_v,Linear,320x320,False
231,up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,320x320,True
232,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_q,Linear,320x320,False
233,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k,Linear,320x768,False
234,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,Linear,320x768,False
235,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,320x320,True
236,up_blocks.3.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,2560x320,True
237,up_blocks.3.attentions.1.transformer_blocks.0.ff.net.2,Linear,320x1280,True
238,up_blocks.3.attentions.1.proj_out,Conv2d,320x320x1x1,True
239,up_blocks.3.attentions.2.proj_in,Conv2d,320x320x1x1,True
240,up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_q,Linear,320x320,False
241,up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_k,Linear,320x320,False
242,up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_v,Linear,320x320,False
243,up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_out.0,Linear,320x320,True
244,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_q,Linear,320x320,False
245,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k,Linear,320x768,False
246,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,Linear,320x768,False
247,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_out.0,Linear,320x320,True
248,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,2560x320,True
249,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.2,Linear,320x1280,True
250,up_blocks.3.attentions.2.proj_out,Conv2d,320x320x1x1,True
251,up_blocks.3.resnets.0.conv1,Conv2d,320x960x3x3,True
252,up_blocks.3.resnets.0.time_emb_proj,Linear,320x1280,True
253,up_blocks.3.resnets.0.conv2,Conv2d,320x320x3x3,True
254,up_blocks.3.resnets.0.conv_shortcut,Conv2d,320x960x1x1,True
255,up_blocks.3.resnets.1.conv1,Conv2d,320x640x3x3,True
256,up_blocks.3.resnets.1.time_emb_proj,Linear,320x1280,True
257,up_blocks.3.resnets.1.conv2,Conv2d,320x320x3x3,True
258,up_blocks.3.resnets.1.conv_shortcut,Conv2d,320x640x1x1,True
259,up_blocks.3.resnets.2.conv1,Conv2d,320x640x3x3,True
260,up_blocks.3.resnets.2.time_emb_proj,Linear,320x1280,True
261,up_blocks.3.resnets.2.conv2,Conv2d,320x320x3x3,True
262,up_blocks.3.resnets.2.conv_shortcut,Conv2d,320x640x1x1,True
263,mid_block.attentions.0.proj_in,Conv2d,1280x1280x1x1,True
264,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,1280x1280,False
265,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,1280x1280,False
266,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,1280x1280,False
267,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,1280x1280,True
268,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,Linear,1280x1280,False
269,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,1280x768,False
270,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,Linear,1280x768,False
271,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,1280x1280,True
272,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,10240x1280,True
273,mid_block.attentions.0.transformer_blocks.0.ff.net.2,Linear,1280x5120,True
274,mid_block.attentions.0.proj_out,Conv2d,1280x1280x1x1,True
275,mid_block.resnets.0.conv1,Conv2d,1280x1280x3x3,True
276,mid_block.resnets.0.time_emb_proj,Linear,1280x1280,True
277,mid_block.resnets.0.conv2,Conv2d,1280x1280x3x3,True
278,mid_block.resnets.1.conv1,Conv2d,1280x1280x3x3,True
279,mid_block.resnets.1.time_emb_proj,Linear,1280x1280,True
280,mid_block.resnets.1.conv2,Conv2d,1280x1280x3x3,True
281,conv_out,Conv2d,4x320x3x3,True
