layer,type,shape,params,mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W4A8,4,8.0,0.055691248275,0.12302616705000001,2.0997841507249997,0.969791897075,2910.9725,2737.64,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W8A8,8,8.0,0.000177752575,0.007547719175,0.147350024425,0.9999029671749999,2910.9725,2728.21,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W4A8,4,8.0,0.0229115113,0.07262296045,1.930949896575,0.98764035245,2910.9725,2753.395,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W8A8,8,8.0,0.01171222145,0.0527455178,2.1779806465,0.9935189283,2910.9725,2746.0025,
down_blocks.1.downsamplers.0.conv,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.040436616825,0.088419966375,1.4820931181499999,0.978776474075,2910.9725,2729.925,
down_blocks.1.downsamplers.0.conv,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,0.035968182875,0.078161895275,1.234800156225,0.981408591825,2910.9725,2730.8199999999997,
down_blocks.1.resnets.0.conv1,Conv2d,"(640, 320, 3, 3)",1843840,W4A8,4,8.0,0.0019980409249999997,0.0254569794,0.4049540013,0.998900081425,2910.9725,2760.045,
down_blocks.1.resnets.0.conv1,Conv2d,"(640, 320, 3, 3)",1843840,W8A8,8,8.0,7.34825e-05,0.0037057145,0.095764301725,0.9999618439,2910.9725,2732.1875,
down_blocks.1.resnets.0.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.002628200025,0.0299563124,0.706506341675,0.998538331,2910.9725,2718.8925,
down_blocks.1.resnets.0.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,2.6116225e-05,0.0028752078,0.075245969,0.999985061775,2910.9725,2736.4300000000003,
down_blocks.1.resnets.0.conv_shortcut,Conv2d,"(640, 320, 1, 1)",205440,W4A8,4,8.0,0.002196005125,0.028927171124999998,0.5541117862,0.998768349325,2910.9725,2709.375,
down_blocks.1.resnets.0.conv_shortcut,Conv2d,"(640, 320, 1, 1)",205440,W8A8,8,8.0,0.000124323725,0.005104286475,0.1291747801,0.9999344652,2910.9725,2731.1825,
down_blocks.1.resnets.0.time_emb_proj,Linear,"(640, 1280)",819840,W4A8,4,8.0,0.128223392875,0.182571384125,3.30429552495,0.9325762864,2910.9725,2742.7975,
down_blocks.1.resnets.0.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8.0,0.00032821907499999995,0.008293138925,0.219691691925,0.9998242431,2910.9725,2733.5275,
down_blocks.1.resnets.1.conv1,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.0097239279,0.0371532836,0.9226430654250001,0.99494349,2910.9725,2733.5825,
down_blocks.1.resnets.1.conv1,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,7.38431e-05,0.00396316395,0.09671190195,0.9999612394,2910.9725,2722.56,
down_blocks.1.resnets.1.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.006427573275,0.045170005400000005,0.880167961125,0.996607104725,2910.9725,2720.95,
down_blocks.1.resnets.1.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,2.12957e-05,0.002505339025,0.070725742725,0.99998811925,2910.9725,2757.6625,
down_blocks.1.resnets.1.time_emb_proj,Linear,"(640, 1280)",819840,W4A8,4,8.0,0.003044310075,0.023819717575,0.57599115,0.998394673725,2910.9725,2730.48,
down_blocks.1.resnets.1.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8.0,2.358125e-06,0.000990228025,0.0149651156,0.999998402775,2910.9725,2730.4175,
down_blocks.2.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.0150332347,0.040909353875,0.898737296475,0.9922454879,2910.9725,2742.85,
down_blocks.2.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,0.000131944675,0.006012788099999999,0.172859632425,0.999928527775,2910.9725,2730.81,
down_blocks.2.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.004344524025,0.032820523475,0.6528271176,0.997769153425,2910.9725,2764.4325,
down_blocks.2.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,0.00175287145,0.015605489725,0.456202507,0.999097688425,2910.9725,2770.7325,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.00029870315,0.0082398451,0.193252872675,0.999844225825,2910.9725,2748.2,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,7.57825e-07,0.00046731945,0.00953206795,0.999999595,2910.9725,2745.89,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.004772733825,0.0429862435,0.831449091425,0.9972891853,2910.9725,2738.36,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,0.00039422605000000003,0.007996633925,0.21885410509999997,0.999798733725,2910.9725,2749.7,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.000896212775,0.011830679975000001,0.2763628699,0.99954564265,2910.9725,2727.94,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,1.51685e-06,0.000594550025,0.01469576175,0.99999919475,2910.9725,2721.3025,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.004879019375,0.038094336400000005,1.052416428925,0.997347059475,2910.9725,2761.3875,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,7.3844e-06,0.0014329176,0.0320635289,0.999996071975,2910.9725,2758.55,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W4A8,4,8.0,0.016111090575,0.04769822115,0.895160630375,0.991665987,2910.9725,2779.4175,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8.0,0.0025174845500000004,0.0173365697,0.3987308815,0.998709449925,2910.9725,2765.96,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.01728496015,0.076636593775,1.761524066325,0.9904528299,2910.9725,2809.9425,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,4.885385e-05,0.003562189025,0.101458996525,0.9999737219,2910.9725,2761.8475,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.000443845175,0.0093556958,0.208681643,0.999768441825,2910.9725,2745.5375,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,7.64615e-06,0.001062991775,0.029523421075,0.9999960809,2910.9725,2761.45,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W4A8,4,8.0,0.014470222875,0.06985945907499999,1.3578798175,0.992571577025,2910.9725,2824.8325,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8.0,0.0015628398249999999,0.02107603545,0.47065761685,0.999191663525,2910.9725,2768.91,
down_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W4A8,4,8.0,0.006974102325,0.04332670385,0.7968894094,0.99626765165,2910.9725,2785.3424999999997,
down_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A8,8,8.0,0.00014820045000000002,0.005845188649999999,0.13162950335,0.9999232906,2910.9725,2805.655,
down_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W4A8,4,8.0,0.01630277115,0.0739588067,2.13712206485,0.990337929575,2910.9725,2789.1925,
down_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A8,8,8.0,0.0081090473,0.05174021425,1.38629134,0.9956373511500001,2910.9725,2774.09,
down_blocks.2.attentions.1.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.00585077865,0.035594346225000004,0.869474153975,0.996993594475,2910.9725,2769.3824999999997,
down_blocks.2.attentions.1.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,0.000234349075,0.008809481875,0.174456294625,0.99986977925,2910.9725,2785.96,
down_blocks.2.attentions.1.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.002131078475,0.02484263365,0.43996233495000003,0.99886356295,2910.9725,2755.9975,
down_blocks.2.attentions.1.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,0.0004370175,0.0086929923,0.2715078071,0.999771161025,2910.9725,2756.9049999999997,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.000945575675,0.0129407131,0.387502111475,0.9995156385999999,2910.9725,2754.995,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,1.1612775e-05,0.001334972825,0.028592208425,0.999994004975,2910.9725,2781.8225,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.06811577015,0.1288356269,1.6674164608,0.96457324915,2910.9725,2761.735,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,0.0003725273,0.0094363204,0.2303367611,0.99980693865,2910.9725,2772.61,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.0015452722,0.01652092975,0.369314439575,0.9992122299,2910.9725,2770.5924999999997,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,3.4612e-06,0.0008732734,0.02788614295,0.999998174325,2910.9725,2780.8725,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.0029813662750000003,0.0268451916,0.502941310425,0.9983908233250001,2910.9725,2783.5699999999997,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,6.00686e-05,0.00287327705,0.077741716075,0.99996926815,2910.9725,2768.0825,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W4A8,4,8.0,0.002161197225,0.02864375385,0.41495513915,0.9987058451249999,2910.9725,2761.7225,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8.0,0.000464349,0.010613759275,0.29753151535,0.99976062155,2910.9725,2761.2975,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.070955404975,0.146380978625,3.054096430575,0.960786228725,2910.9725,2759.025,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,0.00500428185,0.021414457350000003,0.644164651625,0.997434538775,2910.9725,2771.24,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.000518952325,0.01067836245,0.384195962925,0.999725313125,2910.9725,2759.6725,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,3.6371124999999996e-05,0.00236163385,0.0675195083,0.9999812594,2910.9725,2758.3475,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W4A8,4,8.0,0.006614336225,0.0520062372,0.991490364075,0.99546541185,2910.9725,2751.4475,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8.0,0.0006739596999999999,0.01660780145,0.279083915025,0.9995620636,2910.9725,2762.1775,
down_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W4A8,4,8.0,0.016463201375,0.06216065865,1.9001447335,0.9912482656,2910.9725,2795.245,
down_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A8,8,8.0,0.000363658375,0.0071876325,0.182828482225,0.999812853875,2910.9725,2794.8125,
down_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W4A8,4,8.0,0.0320172729,0.095851669075,3.0595512390249997,0.981486706475,2910.9725,2756.835,
down_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A8,8,8.0,0.00038398465,0.00989421095,0.258153587575,0.999797131825,2910.9725,2763.7574999999997,
down_blocks.2.downsamplers.0.conv,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.00065972305,0.01466697175,0.344691714275,0.999613671925,2910.9725,2775.355,
down_blocks.2.downsamplers.0.conv,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,0.0002075223,0.007936537725,0.173986047525,0.999886296375,2910.9725,2758.6225,
down_blocks.2.resnets.0.conv1,Conv2d,"(1280, 640, 3, 3)",7374080,W4A8,4,8.0,0.017438540325,0.08038278574999999,1.69906650485,0.99055775405,2910.9725,2797.9575,
down_blocks.2.resnets.0.conv1,Conv2d,"(1280, 640, 3, 3)",7374080,W8A8,8,8.0,0.001852244975,0.01429313065,0.37759548425,0.999051012875,2910.9725,2789.64,
down_blocks.2.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.000877352,0.01584062655,0.47216312590000004,0.99950915,2910.9725,2791.465,
down_blocks.2.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,0.000286067975,0.0075781296,0.2071135789,0.99985245125,2910.9725,2787.14,
down_blocks.2.resnets.0.conv_shortcut,Conv2d,"(1280, 640, 1, 1)",820480,W4A8,4,8.0,0.00106243575,0.020005386075,0.410653539025,0.999396275925,2910.9725,2750.87,
down_blocks.2.resnets.0.conv_shortcut,Conv2d,"(1280, 640, 1, 1)",820480,W8A8,8,8.0,0.0003413667,0.00771082545,0.18763474375,0.99982390695,2910.9725,2773.395,
down_blocks.2.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.133348519,0.19152522832500002,3.31278140845,0.929913373425,2910.9725,2796.465,
down_blocks.2.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,0.003434238575,0.016684916525,0.423958733675,0.9982412525,2910.9725,2774.815,
down_blocks.2.resnets.1.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.010983146325,0.05139499625,1.18109081685,0.9942297838,2910.9725,2774.83,
down_blocks.2.resnets.1.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,4.7989100000000004e-05,0.003507183275,0.08315631,0.999975014125,2910.9725,2776.5225,
down_blocks.2.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.0034480459999999998,0.029112960425,0.564639940875,0.998272135275,2910.9725,2786.85,
down_blocks.2.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,0.000176621125,0.005008204675,0.1374719888,0.9999092169,2910.9725,2775.4875,
down_blocks.2.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.002860810775,0.033282968675,0.45184575767499996,0.998380396775,2910.9725,2758.2,
down_blocks.2.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,2.987295e-05,0.00191341655,0.057509727775,0.99998473575,2910.9725,2751.445,
down_blocks.3.resnets.0.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.001595952875,0.01969184585,0.49828573314999997,0.999161604925,2910.9725,2766.4375,
down_blocks.3.resnets.0.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,0.00015312785,0.00439796175,0.100052418175,0.999922215075,2910.9725,2761.0,
down_blocks.3.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.000502533,0.012618781075,0.2771877572,0.9997275129000001,2910.9725,2767.135,
down_blocks.3.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,0.000192634775,0.00487757215,0.11018657685,0.999901239525,2910.9725,2771.2375,
down_blocks.3.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.000241335575,0.0082504364,0.17846821435,0.999870952325,2910.9725,2738.8450000000003,
down_blocks.3.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,2.114225e-06,0.0005614937000000001,0.016353329175,0.9999989065,2910.9725,2753.6175000000003,
down_blocks.3.resnets.1.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.0021070119,0.020025765275,0.5534045026,0.99893104805,2910.9725,2777.7625,
down_blocks.3.resnets.1.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,3.2915e-05,0.0022819396,0.061348699025,0.999983180125,2910.9725,2800.41,
down_blocks.3.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,0.000191333275,0.00813691005,0.14442434904999998,0.999888034575,2910.9725,2781.3,
down_blocks.3.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,1.970665e-05,0.00207481105,0.0400147289,0.999989588125,2910.9725,2760.7475,
down_blocks.3.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,5.65004e-05,0.002907840125,0.06405049377500001,0.9999708469749999,2910.9725,2748.985,
down_blocks.3.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,3.297e-07,0.00025637595000000004,0.005864527075000001,0.999999821725,2910.9725,2762.9075000000003,
mid_block.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.00031559474999999997,0.01027274995,0.263813912875,0.999829305525,2910.9725,2796.4474999999998,
mid_block.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,3.1169125e-05,0.003135581025,0.08172331005,0.9999814792,2910.9725,2784.39,
mid_block.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.0009108097250000001,0.013247277125,0.362381964925,0.99952749705,2910.9725,2805.5125,
mid_block.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,5.780525e-06,0.001384619825,0.026896467875,0.999996761825,2910.9725,2790.1549999999997,
mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,4.6840775e-05,0.0032959364,0.0802361816,0.9999751366,2910.9725,2796.13,
mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,1.78975e-07,0.000218516575,0.0071391724,0.9999999047,2910.9725,2847.585,
mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.007429207675,0.042100576699999996,0.9019964486250001,0.995974784625,2910.9725,2816.965,
mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,5.687432500000001e-05,0.0035270278,0.08502364345,0.999969738975,2910.9725,2785.335,
mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.000177794675,0.0050754655,0.127542592625,0.999909637425,2910.9725,2802.555,
mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,6.348499999999999e-07,0.00038084877500000003,0.006432373050000001,0.9999996703,2910.9725,2808.6125,
mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.000451759575,0.011058952649999999,0.19704224355,0.99975203295,2910.9725,2784.6925,
mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,1.566525e-06,0.000727179925,0.01560872795,0.99999910955,2910.9725,2801.385,
mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W4A8,4,8.0,0.02860466405,0.064372803075,1.0561776012,0.98515050755,2910.9725,2848.565,
mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8.0,2.8016525e-05,0.003035466225,0.05844813865,0.999984839575,2910.9725,2804.0725,
mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.04254187665,0.107161249025,1.6937600522999998,0.977376799175,2910.9725,2814.9175,
mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,0.0001132609,0.00621706935,0.11934473365,0.99993374325,2910.9725,2836.26,
mid_block.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.00029676895000000004,0.006589482775,0.19645872339999998,0.99984709225,2910.9725,2785.17,
